0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:32 -0300] "GET /FIAPJobs/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:32 -0300] "GET /FIAPJobs/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:32 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4494
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:32 -0300] "GET /FIAPJobs/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:32 -0300] "GET /FIAPJobs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:32 -0300] "GET /FIAPJobs/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:44 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4495
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:44 -0300] "GET /FIAPJobs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:44 -0300] "GET /FIAPJobs/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:53:44 -0300] "GET /FIAPJobs/js/bootstrap.min.js HTTP/1.1" 304 -
